tienda,busqueda,popularidad,dificultad,apps,medido,cubierta_antes,cubierta_ahora,locales_que_la_cubren_ahora
br,sintetizador de voz,5,37,249,2026-09-12 09:14:23,no,no,
br,texto para voz,5,38,250,2026-09-12 09:14:18,no,no,
br,falar texto,5,38,249,2026-09-12 09:19:38,no,no,
br,narrador de voz,5,38,161,2026-09-12 09:19:40,no,sí,pt-BR
br,leitor de texto em voz alta,5,39,183,2026-09-12 09:19:36,sí,sí,pt-BR
br,leitor epub,5,41,250,2026-09-12 09:14:22,sí,sí,pt-BR
br,leitura de texto,5,41,250,2026-09-12 09:19:37,sí,no,
br,texto em voz,5,42,250,2026-09-12 09:14:18,sí,sí,pt-BR
br,ouvir pdf,5,43,97,2026-09-12 09:19:38,no,sí,pt-BR
br,ler em voz alta,5,46,103,2026-09-12 09:14:19,sí,sí,pt-BR
br,leitor de texto,5,47,245,2026-09-12 09:14:19,sí,sí,pt-BR
br,leitor pdf,5,51,243,2026-09-12 09:14:20,sí,sí,pt-BR
br,ler pdf,5,51,245,2026-09-12 09:14:23,sí,sí,pt-BR
br,ouvir livros,5,57,247,2026-09-12 09:14:26,no,sí,pt-BR
br,estudar,5,58,249,2026-09-12 09:19:40,no,no,
br,audiolivro,5,63,250,2026-09-12 09:14:20,sí,sí,pt-BR
ca,offline,59,75,248,2026-09-12 09:12:48,sí,no,
ca,pdf reader,54,23,248,2026-09-12 09:12:42,sí,sí,en-CA
ca,text to speech,51,42,250,2026-09-12 09:12:40,sí,sí,en-CA fr-CA
ca,epub reader,48,50,250,2026-09-12 09:12:43,sí,sí,en-CA
ca,reader,46,54,249,2026-09-12 09:12:47,sí,sí,en-CA
ca,ebook reader,45,45,249,2026-09-12 09:12:46,no,sí,en-CA
ca,audiobook,40,70,250,2026-09-12 09:12:43,sí,sí,en-CA
ca,read aloud,36,41,249,2026-09-12 09:12:40,sí,sí,en-CA
ca,read out loud,25,37,249,2026-09-12 09:12:44,no,sí,en-CA
ca,dyslexia,20,11,250,2026-09-12 09:12:44,sí,sí,en-CA
ca,voice reader,19,43,248,2026-09-12 09:12:41,sí,sí,en-CA
ca,text reader,9,38,247,2026-09-12 09:12:41,sí,sí,en-CA
ca,tts,8,23,248,2026-09-12 09:12:40,sí,sí,en-CA fr-CA
ca,synthèse vocale,6,11,249,2026-09-12 09:12:48,sí,sí,fr-CA
ca,text to voice,6,37,247,2026-09-12 09:12:45,sí,sí,en-CA
ca,read to me,6,43,249,2026-09-12 09:12:44,no,no,
ca,lire à voix haute,5,9,178,2026-09-12 09:12:48,sí,sí,fr-CA
ca,narrator,5,13,248,2026-09-12 09:12:46,no,sí,en-CA
ca,speak text,5,17,249,2026-09-12 09:12:45,no,no,
ca,pdf to audio,5,39,248,2026-09-12 09:12:42,sí,sí,en-CA fr-CA
ca,lecteur de texte,5,40,250,2026-09-12 09:12:48,sí,sí,fr-CA
cz,youtube,91,76,197,2026-09-12 09:15:43,sí,no,
cz,offline,56,50,216,2026-09-12 09:15:42,sí,sí,cs
cz,epub,36,23,231,2026-09-12 09:15:41,sí,sí,cs en-GB
cz,text to speech,32,9,218,2026-09-12 09:15:39,sí,sí,cs en-GB
cz,předčítání,5,5,20,2026-09-12 09:15:37,no,sí,cs
cz,hlasová syntéza,5,5,0,2026-09-12 09:15:38,no,no,
cz,přístupnost,5,5,40,2026-09-12 09:15:40,sí,no,
cz,čtení nahlas,5,7,35,2026-09-12 09:15:37,sí,no,
cz,dyslexie,5,7,203,2026-09-12 09:15:40,sí,sí,cs
cz,text na řeč,5,9,151,2026-09-12 09:15:37,sí,sí,cs
cz,tts,5,11,218,2026-09-12 09:15:39,sí,sí,cs en-GB
cz,čtečka textu,5,13,87,2026-09-12 09:15:38,no,no,
cz,články,5,13,40,2026-09-12 09:15:42,sí,no,
cz,hlas,5,19,233,2026-09-12 09:15:41,sí,sí,cs
cz,čtení,5,21,242,2026-09-12 09:15:42,sí,no,
cz,audiokniha,5,38,162,2026-09-12 09:15:38,sí,sí,cs
cz,čtečka,5,38,236,2026-09-12 09:15:40,sí,sí,cs
cz,pdf čtečka,5,40,206,2026-09-12 09:15:38,sí,sí,cs
de,youtube,89,88,185,2026-09-12 09:13:44,sí,no,
de,pdf,69,67,209,2026-09-12 09:19:52,sí,sí,de-DE en-GB
de,bücher,63,68,220,2026-09-12 09:19:53,no,no,
de,offline,61,69,218,2026-09-12 09:13:42,sí,no,
de,lernen,58,75,200,2026-09-12 09:19:53,no,no,
de,pdf reader,53,57,210,2026-09-12 09:13:36,sí,sí,en-GB
de,text to speech,52,42,211,2026-09-12 09:13:41,sí,sí,de-DE en-GB
de,lesen,50,65,209,2026-09-12 09:13:42,no,sí,de-DE
de,ebook reader,49,53,222,2026-09-12 09:13:39,no,no,
de,ebook,48,64,222,2026-09-12 09:19:54,no,sí,de-DE
de,lese app,47,72,215,2026-09-12 09:19:54,no,no,
de,text vorlesen app,46,37,242,2026-09-12 09:19:49,no,sí,de-DE
de,reader,46,55,220,2026-09-12 09:13:43,sí,sí,en-GB
de,epub,33,40,229,2026-09-12 09:13:39,sí,sí,de-DE en-GB
de,vorlese app,23,21,220,2026-09-12 09:13:34,no,sí,de-DE
de,stimme,22,45,212,2026-09-12 09:13:41,no,sí,de-DE
de,text zu sprache,12,38,226,2026-09-12 09:13:34,no,no,
de,vorlesen,9,21,222,2026-09-12 09:13:33,sí,sí,de-DE
de,texte vorlesen,8,23,233,2026-09-12 09:19:49,no,no,
de,tts,8,45,236,2026-09-12 09:13:37,sí,sí,de-DE en-GB
de,artikel,7,23,214,2026-09-12 09:13:44,sí,sí,de-DE
de,pdf vorlesen,7,45,231,2026-09-12 09:13:36,sí,sí,de-DE
de,diktieren,7,45,218,2026-09-12 09:19:55,no,no,
de,texte vorlesen lassen,6,21,235,2026-09-12 09:13:37,no,no,
de,sprache zu text,6,41,236,2026-09-12 09:19:51,no,no,
de,hörbuch,6,65,218,2026-09-12 09:13:35,sí,sí,de-DE
de,legasthenie,5,5,126,2026-09-12 09:13:38,sí,sí,de-DE
de,artikel vorlesen,5,5,40,2026-09-12 09:13:40,sí,sí,de-DE
de,sprachsynthese,5,9,30,2026-09-12 09:13:38,no,no,
de,sprachausgabe app,5,9,146,2026-09-12 09:19:50,no,sí,de-DE
de,legasthenie app,5,9,126,2026-09-12 09:19:55,no,sí,de-DE
de,hörbuch erstellen,5,11,17,2026-09-12 09:13:36,no,no,
de,laut vorlesen,5,11,33,2026-09-12 09:13:40,no,no,
de,barrierefrei,5,13,165,2026-09-12 09:13:38,sí,no,
de,vorlesen lassen,5,15,218,2026-09-12 09:19:49,sí,no,
de,vorleseapp,5,19,220,2026-09-12 09:19:51,no,no,
de,pdf vorlesen lassen,5,21,233,2026-09-12 09:19:50,sí,no,
de,vorlese,5,21,226,2026-09-12 09:19:52,no,sí,de-DE
de,vorlesefunktion,5,33,2,2026-09-12 09:13:44,no,no,
de,sprachausgabe,5,35,231,2026-09-12 09:13:34,sí,sí,de-DE
de,vorleser,5,36,225,2026-09-12 09:13:35,sí,sí,de-DE
de,tts app,5,40,230,2026-09-12 09:19:49,no,sí,de-DE
de,text vorlesen,5,41,235,2026-09-12 09:13:33,sí,sí,de-DE
de,text to speech deutsch,5,45,233,2026-09-12 09:19:51,no,no,
de,bücher vorlesen,5,47,222,2026-09-12 09:13:40,no,no,
de,hörbuch app,5,62,220,2026-09-12 09:19:50,no,sí,de-DE
de,bücher hören,5,63,217,2026-09-12 09:13:43,no,no,
dk,youtube,95,75,189,2026-09-12 09:15:12,sí,no,
dk,lydbøger,57,54,115,2026-09-12 09:15:06,no,no,
dk,offline,41,57,224,2026-09-12 09:15:10,sí,sí,da
dk,text to speech,30,11,215,2026-09-12 09:15:07,sí,sí,da en-GB
dk,lydbog,28,60,205,2026-09-12 09:15:05,sí,sí,da
dk,epub,24,17,229,2026-09-12 09:15:09,sí,sí,da en-GB
dk,talesyntese,5,5,7,2026-09-12 09:15:05,no,sí,da
dk,læse op,5,7,22,2026-09-12 09:15:03,no,no,
dk,tekst til tale,5,11,223,2026-09-12 09:15:02,sí,sí,da
dk,oplæsning,5,11,83,2026-09-12 09:15:03,sí,sí,da
dk,pdf læser,5,13,230,2026-09-12 09:15:06,sí,no,
dk,tts,5,13,216,2026-09-12 09:15:07,sí,sí,da en-GB
dk,tilgængelighed,5,13,81,2026-09-12 09:15:08,sí,no,
dk,ordblindhed,5,15,31,2026-09-12 09:15:08,no,no,
dk,artikler,5,15,144,2026-09-12 09:15:11,sí,no,
dk,oplæser,5,17,121,2026-09-12 09:15:04,no,sí,da
dk,læs op,5,19,218,2026-09-12 09:15:11,no,sí,da
dk,stemme,5,23,228,2026-09-12 09:15:10,sí,sí,da
dk,ordblind,5,29,195,2026-09-12 09:15:08,sí,sí,da
ee,pdf,49,21,221,2026-09-12 09:17:29,sí,sí,en-GB
ee,text to speech,24,7,219,2026-09-12 09:17:28,sí,sí,en-GB
ee,audiobook,22,21,241,2026-09-12 09:17:30,sí,sí,en-GB
ee,tekst kõneks,5,5,0,2026-09-12 09:17:27,no,no,
ee,ettelugemine,5,5,0,2026-09-12 09:17:27,no,no,
ee,kõnesüntees,5,5,0,2026-09-12 09:17:28,no,no,
ee,lugeja,5,5,0,2026-09-12 09:17:29,no,no,
ee,tts,5,7,217,2026-09-12 09:17:28,sí,sí,en-GB
ee,read aloud,5,9,232,2026-09-12 09:17:29,sí,sí,en-GB
ee,audioraamat,5,13,16,2026-09-12 09:17:27,no,no,
es,youtube,88,83,192,2026-09-12 09:13:14,sí,no,
es,pdf,67,59,212,2026-09-12 09:19:27,sí,sí,es-ES en-GB
es,libros,65,56,224,2026-09-12 09:13:13,no,sí,es-ES
es,offline,55,57,218,2026-09-12 09:13:12,sí,no,
es,estudiar,54,59,230,2026-09-12 09:19:28,no,sí,es-ES
es,epub,50,41,227,2026-09-12 09:19:27,sí,sí,es-ES en-GB
es,audiolibros,50,57,222,2026-09-12 09:13:05,sí,sí,es-ES
es,leer,46,59,220,2026-09-12 09:13:11,sí,sí,es-ES
es,lectura,45,55,229,2026-09-12 09:19:25,no,no,
es,lector de textos,44,40,230,2026-09-12 09:13:03,sí,sí,es-ES
es,texto a voz,43,39,234,2026-09-12 09:13:01,sí,sí,es-ES
es,lector epub,43,42,226,2026-09-12 09:13:08,sí,sí,es-ES
es,lector pdf,43,50,226,2026-09-12 09:13:04,sí,sí,es-ES
es,voz,34,48,230,2026-09-12 09:13:07,sí,sí,es-ES
es,text to speech,32,37,220,2026-09-12 09:13:13,sí,sí,en-GB
es,leer texto,15,43,235,2026-09-12 09:19:22,sí,sí,es-ES
es,narrador,11,23,191,2026-09-12 09:13:07,no,sí,es-ES
es,sin conexión,9,67,239,2026-09-12 09:13:13,no,no,
es,tts,8,40,212,2026-09-12 09:13:06,sí,sí,es-ES en-GB
es,lector de documentos,8,47,202,2026-09-12 09:13:11,no,sí,es-ES
es,lector de libros,8,50,233,2026-09-12 09:19:24,no,sí,es-ES
es,leer libros,7,59,239,2026-09-12 09:13:09,no,sí,es-ES
es,dislexia,6,13,186,2026-09-12 09:13:08,sí,sí,es-ES
es,texto a audio,6,42,229,2026-09-12 09:13:09,no,no,
es,lector de texto,6,42,238,2026-09-12 09:19:22,sí,sí,es-ES
es,audiolibro,6,56,217,2026-09-12 09:13:05,sí,sí,es-ES
es,leer articulos,5,5,91,2026-09-12 09:19:28,no,no,
es,voz alta,5,7,179,2026-09-12 09:13:10,sí,no,
es,accesibilidad,5,9,193,2026-09-12 09:13:08,sí,no,
es,lectura en voz alta,5,11,50,2026-09-12 09:13:10,no,no,
es,artículos,5,13,187,2026-09-12 09:13:14,sí,sí,es-ES
es,lector de voz alta,5,13,75,2026-09-12 09:19:23,sí,no,
es,lector de pdf en voz alta,5,13,75,2026-09-12 09:19:26,sí,no,
es,narrador de texto,5,21,176,2026-09-12 09:19:23,no,sí,es-ES
es,lector de voz,5,23,218,2026-09-12 09:13:03,sí,sí,es-ES
es,voz natural,5,23,76,2026-09-12 09:19:26,no,no,
es,lector de noticias,5,34,89,2026-09-12 09:19:28,no,sí,es-ES
es,convertir texto a voz,5,40,237,2026-09-12 09:13:06,no,no,
es,texto hablado,5,40,220,2026-09-12 09:19:26,no,no,
es,leer en voz alta,5,42,118,2026-09-12 09:13:02,sí,no,
es,pdf a audio,5,44,223,2026-09-12 09:13:04,no,no,
es,voz a texto,5,44,244,2026-09-12 09:19:23,sí,sí,es-ES
es,sintetizador de voz,5,45,234,2026-09-12 09:13:11,no,no,
es,texto a voz español,5,47,241,2026-09-12 09:19:22,no,no,
es,escuchar libros,5,48,235,2026-09-12 09:13:10,no,sí,es-ES
es,leer pdf,5,52,230,2026-09-12 09:13:04,sí,sí,es-ES
es,lector,5,53,239,2026-09-12 09:13:06,sí,sí,es-ES
es,leer documentos,5,53,227,2026-09-12 09:19:24,no,sí,es-ES
es,audio libros,5,59,235,2026-09-12 09:19:26,no,no,
es,app para leer,5,60,226,2026-09-12 09:19:24,no,no,
es,escuchar pdf,5,63,236,2026-09-12 09:19:25,no,sí,es-ES
fi,youtube,90,70,182,2026-09-12 09:15:20,sí,no,
fi,äänikirjat,53,45,221,2026-09-12 09:15:15,no,sí,fi
fi,offline,44,53,223,2026-09-12 09:15:19,sí,sí,fi
fi,text to speech,36,9,213,2026-09-12 09:15:17,sí,sí,fi en-GB
fi,epub,26,15,230,2026-09-12 09:15:17,sí,sí,fi en-GB
fi,puhesynteesi,5,5,12,2026-09-12 09:15:14,sí,sí,fi
fi,ääneen lukeminen,5,5,18,2026-09-12 09:15:14,no,no,
fi,lukihäiriö,5,5,26,2026-09-12 09:15:17,sí,sí,fi
fi,saavutettavuus,5,5,27,2026-09-12 09:15:17,sí,no,
fi,lue ääneen,5,5,40,2026-09-12 09:15:19,no,no,
fi,artikkelit,5,5,77,2026-09-12 09:15:19,sí,no,
fi,teksti puheeksi,5,7,230,2026-09-12 09:15:14,sí,sí,fi
fi,lukija,5,7,233,2026-09-12 09:15:15,sí,sí,fi
fi,tts,5,7,215,2026-09-12 09:15:16,sí,sí,fi en-GB
fi,pdf lukija,5,13,207,2026-09-12 09:15:16,sí,sí,fi
fi,ääni,5,15,230,2026-09-12 09:15:18,no,sí,fi
fi,äänikirja,5,44,215,2026-09-12 09:15:15,sí,no,
fr,youtube,90,87,188,2026-09-12 09:13:54,sí,no,
fr,pdf,70,68,214,2026-09-12 09:20:06,sí,sí,fr-FR en-GB
fr,livre audio gratuit,56,65,233,2026-09-12 09:20:05,no,no,
fr,livre audio,54,64,236,2026-09-12 09:13:48,sí,sí,fr-FR
fr,lecture,53,67,225,2026-09-12 09:20:08,sí,sí,fr-FR
fr,lire,48,65,212,2026-09-12 09:13:52,sí,sí,fr-FR
fr,epub,45,43,229,2026-09-12 09:20:06,sí,sí,fr-FR en-GB
fr,lecteur de texte,44,41,223,2026-09-12 09:13:45,sí,sí,fr-FR
fr,text to speech,35,38,217,2026-09-12 09:13:46,sí,sí,fr-FR en-GB
fr,texte,33,68,209,2026-09-12 09:13:53,sí,sí,fr-FR
fr,voix,24,50,232,2026-09-12 09:13:52,sí,sí,fr-FR
fr,lecteur pdf,23,57,231,2026-09-12 09:13:47,sí,sí,fr-FR
fr,livres audio,23,62,242,2026-09-12 09:13:48,sí,sí,fr-FR
fr,voix off,15,41,225,2026-09-12 09:13:50,no,no,
fr,lecteur,14,52,230,2026-09-12 09:13:51,sí,sí,fr-FR
fr,lecteur epub,10,45,222,2026-09-12 09:13:50,sí,sí,fr-FR
fr,lecteur texte,9,41,226,2026-09-12 09:20:02,sí,sí,fr-FR
fr,tts,8,38,230,2026-09-12 09:13:47,sí,sí,fr-FR en-GB
fr,dyslexie,7,13,210,2026-09-12 09:13:49,sí,sí,fr-FR
fr,synthèse vocale,6,35,215,2026-09-12 09:13:45,sí,sí,fr-FR
fr,lecture texte,6,44,239,2026-09-12 09:20:02,sí,sí,fr-FR
fr,hors ligne,6,73,232,2026-09-12 09:13:52,sí,no,
fr,voix naturelle,5,5,36,2026-09-12 09:20:07,no,no,
fr,lire à voix haute,5,7,113,2026-09-12 09:13:45,sí,sí,fr-FR
fr,lecture à voix haute,5,7,72,2026-09-12 09:13:46,sí,sí,fr-FR
fr,accessibilité,5,9,211,2026-09-12 09:13:50,sí,no,
fr,narrateur,5,9,87,2026-09-12 09:13:51,no,sí,fr-FR
fr,dyslexique,5,9,205,2026-09-12 09:20:07,no,no,
fr,lecteur de texte vocal,5,19,116,2026-09-12 09:20:01,no,no,
fr,écouter pdf,5,19,106,2026-09-12 09:20:04,no,sí,fr-FR
fr,lecture vocale,5,40,161,2026-09-12 09:13:49,sí,sí,fr-FR
fr,lecteur vocal,5,42,240,2026-09-12 09:13:49,no,no,
fr,lire texte,5,42,224,2026-09-12 09:20:01,sí,sí,fr-FR
fr,voix texte,5,42,239,2026-09-12 09:20:03,sí,sí,fr-FR
fr,texte en voix,5,45,235,2026-09-12 09:13:46,sí,sí,fr-FR
fr,text to speech français,5,45,123,2026-09-12 09:20:03,no,no,
fr,texte en audio,5,46,235,2026-09-12 09:20:07,sí,sí,fr-FR
fr,pdf audio,5,49,231,2026-09-12 09:13:48,sí,sí,fr-FR
fr,lecteur de document,5,53,214,2026-09-12 09:20:05,no,sí,fr-FR
fr,lecteur de livre,5,55,234,2026-09-12 09:20:04,sí,sí,fr-FR
fr,étudier,5,55,224,2026-09-12 09:20:06,no,no,
fr,article,5,58,207,2026-09-12 09:13:53,sí,sí,fr-FR
fr,lire pdf,5,62,234,2026-09-12 09:13:51,sí,sí,fr-FR
gb,offline,61,70,247,2026-09-12 09:12:35,sí,no,
gb,text to speech,54,44,248,2026-09-12 09:12:25,sí,sí,en-GB
gb,pdf reader,53,38,245,2026-09-12 09:12:27,sí,sí,en-GB
gb,epub reader,46,45,250,2026-09-12 09:12:28,sí,sí,en-GB
gb,audiobook,45,67,249,2026-09-12 09:12:27,sí,sí,en-GB
gb,read aloud,29,39,249,2026-09-12 09:12:25,sí,sí,en-GB
gb,reading app,29,66,249,2026-09-12 09:12:36,no,no,
gb,tts,23,23,249,2026-09-12 09:12:25,sí,sí,en-GB
gb,read to me,16,40,246,2026-09-12 09:12:28,no,no,
gb,voice reader,16,48,247,2026-09-12 09:12:26,sí,sí,en-GB
gb,dyslexia,9,11,247,2026-09-12 09:12:29,sí,sí,en-GB
gb,text to audio,9,39,250,2026-09-12 09:12:31,no,no,
gb,text reader,9,43,250,2026-09-12 09:12:26,sí,sí,en-GB
gb,ebook reader,9,54,249,2026-09-12 09:12:32,no,no,
gb,audio book,9,66,247,2026-09-12 09:12:36,no,no,
gb,text to voice,8,23,249,2026-09-12 09:12:30,sí,sí,en-GB
gb,reader,8,51,248,2026-09-12 09:12:34,sí,sí,en-GB
gb,study app,7,57,249,2026-09-12 09:19:18,no,no,
gb,read out loud,6,21,249,2026-09-12 09:12:29,no,no,
gb,speech to text,6,38,250,2026-09-12 09:19:18,sí,sí,en-GB
gb,accessibility,5,9,249,2026-09-12 09:12:30,no,sí,en-GB
gb,pdf to audiobook,5,11,248,2026-09-12 09:19:16,sí,sí,en-GB
gb,accessibility app,5,11,250,2026-09-12 09:19:19,no,no,
gb,speech synthesis,5,13,244,2026-09-12 09:12:33,no,no,
gb,narrator,5,17,249,2026-09-12 09:12:33,no,sí,en-GB
gb,text to speech app,5,19,249,2026-09-12 09:19:15,no,no,
gb,tts app,5,21,247,2026-09-12 09:19:16,no,no,
gb,article reader,5,23,245,2026-09-12 09:12:29,sí,no,
gb,read books aloud,5,36,249,2026-09-12 09:12:32,sí,sí,en-GB
gb,pdf to audio,5,39,249,2026-09-12 09:12:27,no,no,
gb,document reader,5,39,250,2026-09-12 09:12:33,no,sí,en-GB
gb,screen reader,5,40,249,2026-09-12 09:19:17,no,no,
gb,speak text,5,42,249,2026-09-12 09:12:31,no,no,
gb,voice reader app,5,44,246,2026-09-12 09:19:17,no,no,
gb,read aloud app,5,48,248,2026-09-12 09:19:16,no,no,
gb,listen to books,5,61,249,2026-09-12 09:19:16,no,sí,en-GB
gr,youtube,91,77,198,2026-09-12 09:15:59,sí,no,
gr,offline,55,54,221,2026-09-12 09:15:58,sí,sí,el
gr,pdf reader,48,40,222,2026-09-12 09:15:55,sí,sí,el en-GB
gr,text to speech,31,9,214,2026-09-12 09:15:56,sí,sí,el en-GB
gr,audiobook,24,23,233,2026-09-12 09:15:55,sí,sí,el en-GB
gr,εκφώνηση,5,5,13,2026-09-12 09:15:54,no,no,
gr,ηχητικό βιβλίο,5,5,35,2026-09-12 09:15:54,no,no,
gr,δυσλεξία,5,5,31,2026-09-12 09:15:56,sí,sí,el
gr,προσβασιμότητα,5,5,40,2026-09-12 09:15:56,sí,no,
gr,ανάγνωση,5,5,227,2026-09-12 09:15:57,sí,sí,el
gr,φωνή,5,5,221,2026-09-12 09:15:57,sí,sí,el
gr,αφήγηση,5,5,69,2026-09-12 09:15:58,no,sí,el
gr,άρθρα,5,5,50,2026-09-12 09:15:59,sí,no,
gr,κείμενο σε ομιλία,5,7,146,2026-09-12 09:15:54,sí,no,
gr,ανάγνωση κειμένου,5,7,23,2026-09-12 09:15:54,no,no,
gr,epub,5,15,229,2026-09-12 09:15:57,sí,sí,el en-GB
gr,tts,5,21,212,2026-09-12 09:15:55,sí,sí,el en-GB
hr,youtube,90,70,195,2026-09-12 09:15:27,sí,no,
hr,offline,39,43,214,2026-09-12 09:15:26,sí,sí,hr
hr,text to speech,19,7,224,2026-09-12 09:15:24,sí,sí,hr en-GB
hr,tekst u govor,5,5,147,2026-09-12 09:15:22,sí,sí,hr
hr,pdf čitač,5,5,167,2026-09-12 09:15:23,sí,sí,hr
hr,disleksija,5,5,27,2026-09-12 09:15:24,sí,sí,hr
hr,pristupačnost,5,5,30,2026-09-12 09:15:24,sí,no,
hr,članci,5,5,44,2026-09-12 09:15:26,sí,no,
hr,čitač teksta,5,7,35,2026-09-12 09:15:22,no,no,
hr,tts,5,7,217,2026-09-12 09:15:23,sí,sí,hr en-GB
hr,čitač,5,7,243,2026-09-12 09:15:25,sí,sí,hr
hr,glas,5,7,223,2026-09-12 09:15:25,sí,sí,hr
hr,čitanje naglas,5,9,30,2026-09-12 09:15:22,no,sí,hr
hr,audioknjiga,5,13,89,2026-09-12 09:15:22,sí,sí,hr
hr,audio knjiga,5,13,89,2026-09-12 09:15:23,no,no,
hr,epub,5,13,239,2026-09-12 09:15:25,sí,sí,hr en-GB
hu,youtube,93,73,198,2026-09-12 09:15:52,sí,no,
hu,hangoskönyv,58,19,141,2026-09-12 09:15:47,sí,sí,hu
hu,offline,56,55,219,2026-09-12 09:15:51,sí,sí,hu
hu,epub,41,19,237,2026-09-12 09:15:50,sí,sí,hu en-GB
hu,text to speech,28,9,217,2026-09-12 09:15:48,sí,sí,hu en-GB
hu,szöveg hanggá,5,5,7,2026-09-12 09:15:46,no,no,
hu,beszédszintézis,5,5,6,2026-09-12 09:15:46,no,no,
hu,akadálymentes,5,5,11,2026-09-12 09:15:49,sí,no,
hu,felolvasás,5,7,53,2026-09-12 09:15:45,no,no,
hu,tts,5,9,217,2026-09-12 09:15:48,sí,sí,hu en-GB
hu,diszlexia,5,9,209,2026-09-12 09:15:49,sí,sí,hu
hu,cikkek,5,9,26,2026-09-12 09:15:51,sí,no,
hu,felolvasó,5,11,233,2026-09-12 09:15:46,no,sí,hu
hu,szövegfelolvasó,5,15,60,2026-09-12 09:15:45,sí,sí,hu
hu,olvasó,5,32,231,2026-09-12 09:15:49,sí,sí,hu
