locale,nombre_antes,subtitulo_antes,keywords_antes,nombre_ahora,subtitulo_ahora,keywords_ahora
sv,Yappy: läser högt för dig,"Lokalt och privat, utan moln","tts,text till tal,uppläsning,läsare,ljudbok,pdf,epub,artiklar,youtube,offline,dyslexi,tillgänglighet",Yappy: Text to Speech & röst,"Läser upp text, PDF och EPUB","tts,uppläsning,talsyntes,ljudbok,artikel,dyslexi,dokument,bok,läsare,till,tal,offline"
da,Yappy: læser højt for dig,"Lokalt og privat, uden cloud","tts,tekst til tale,oplæsning,stemme,lydbog,pdf,epub,artikler,youtube,offline,ordblind,tilgængelighed","Yappy: Text to Speech, læs op","Oplæsning af tekst, PDF, EPUB","tts,oplæser,talesyntese,lydbog,artikel,ordblind,dokument,bog,stemme,tale,til,offline"
fi,Yappy: lukee ääneen,Puhesynteesi ilman pilveä,"tts,teksti puheeksi,lukija,äänikirja,pdf,epub,artikkelit,youtube,offline,lukihäiriö,saavutettavuus","Yappy: Text to Speech, lukija",Lukee tekstit ja PDF:t ääneen,"tts,epub,puhesynteesi,äänikirjat,artikkeli,lukihäiriö,dokumentti,kirja,ääni,puheeksi,teksti,offline"
hr,Yappy: čita naglas,"Lokalno i privatno, bez oblaka","tts,tekst u govor,čitač,glas,audioknjiga,pdf,epub,članci,youtube,offline,disleksija,pristupačnost","Yappy: Text to Speech, čitač","Čita naglas tekst, PDF i EPUB","tts,audioknjiga,govor,glas,članak,disleksija,dokument,knjiga,čitanje,offline"
sk,Yappy: číta nahlas,"Lokálne a súkromne, bez cloudu","tts,text na reč,čítačka,hlas,audiokniha,pdf,epub,články,youtube,offline,dyslexia,prístupnosť,čítanie","Yappy: Text to Speech, čítačka","Číta nahlas text, PDF a EPUB","tts,audiokniha,reč,hlas,článok,dyslexia,dokument,kniha,predčítanie,offline"
cs,Yappy: čte nahlas,"Lokálně a soukromě, bez cloudu","tts,text na řeč,čtečka,hlas,audiokniha,pdf,epub,články,youtube,offline,dyslexie,přístupnost,čtení","Yappy: Text to Speech, čtečka","Čte nahlas text, PDF a EPUB","tts,audiokniha,řeč,hlas,článek,dyslexie,dokument,kniha,předčítání,syntéza,offline"
hu,Yappy: felolvassa a szöveget,"Helyben, felhő és fiók nélkül","tts,szövegfelolvasó,olvasó,hang,hangoskönyv,pdf,epub,cikkek,youtube,offline,diszlexia,akadálymentes","Yappy: Text to Speech, olvasó",Szöveg és PDF felolvasása,"tts,epub,hangoskönyv,szövegfelolvasó,felolvasó,hang,cikk,diszlexia,dokumentum,könyv,beszéd,offline"
el,Yappy: διαβάζει δυνατά,"Τοπικά, ιδιωτικά, χωρίς cloud","tts,κείμενο σε ομιλία,ανάγνωση,φωνή,audiobook,pdf,epub,άρθρα,youtube,offline,δυσλεξία,προσβασιμότητα",Yappy: Text to Speech & φωνή,Διαβάζει δυνατά PDF και EPUB,"tts,reader,ανάγνωση,κείμενο,ομιλία,audiobook,άρθρο,δυσλεξία,έγγραφο,βιβλίο,αφήγηση,offline"
uk,Yappy: читає вголос,"Локально, приватно, без хмари","tts,читалка,голос,аудіокнига,pdf,epub,статті,youtube,офлайн,дислексія,доступність,озвучка,читання","Yappy: читалка, Text to Speech","Читає вголос текст, PDF, EPUB","tts,читання,озвучка,аудіокнига,стаття,дислексія,документ,книга,голос,мовлення"
ru,Yappy: читает вслух,Озвучка текста без облака,"tts,синтез речи,читалка,чтение,голос,аудиокнига,pdf,epub,статьи,youtube,офлайн,дислексия,доступность","Yappy: текст в речь, читалка",Text to Speech: читает вслух,"tts,pdf,epub,озвучка,голос,статьи,чтение,аудиокнига,дислексия,документ,книга,синтез"
tr,Yappy: metni sesli okur,"Cihazında, özel, bulutsuz","tts,seslendirme,okuyucu,okuma,kitap,pdf,epub,makale,youtube,çevrimdışı,disleksi,erişilebilirlik","Yappy: Text to Speech, okuyucu","Kitap, PDF, metin sesli okuma","tts,epub,seslendirme,ses,makale,disleksi,belge,dinle,yazı"
ar-SA,Yappy: يقرأ لك بصوت عالٍ,محلي وخاص، بدون سحابة,"tts,تحويل النص إلى كلام,قارئ,صوت,كتاب صوتي,pdf,epub,مقالات,يوتيوب,أوفلاين,عسر القراءة,إمكانية الوصول",Yappy: قارئ Text to Speech,يقرأ لك النصوص وملفات PDF,"tts,epub,صوت,كتاب,صوتي,مقالات,عسر,القراءة,تحويل,كلام,بصوت,عال"
hi,Yappy: ज़ोर से पढ़कर सुनाए,"लोकल, प्राइवेट, बिना क्लाउड","tts,text to speech,read aloud,reader,audiobook,आवाज़,pdf,epub,लेख,youtube,ऑफलाइन,डिस्लेक्सिया",Yappy: Text to Speech Reader,PDF और लेख ज़ोर से सुनाए,"tts,voice,epub,audiobook,read,aloud,hindi,आवाज़,ऑडियोबुक,पढ़कर,dyslexia"
id,Yappy: membacakan teks untukmu,"Lokal dan privat, tanpa cloud","tts,text to speech,pembaca,suara,buku audio,pdf,epub,artikel,youtube,offline,disleksia,aksesibilitas","Yappy: Text to Speech, pembaca","Baca buku, PDF & teks bersuara","tts,epub,ebook,suara,audiobook,artikel,disleksia,dokumen,audio,berita"
vi,Yappy: đọc to cho bạn nghe,Chuyển văn bản thành giọng nói,"tts,ebook,audio,sách,audiobook,pdf,epub,bài viết,youtube,offline,riêng tư,trợ năng,tiếng việt","Yappy: Text to Speech, đọc báo","Đọc truyện, sách, PDF ra tiếng","tts,epub,ebook,nói,audio,giọng,văn,bản,bài,viết,việt"
ko,Yappy: 텍스트를 소리 내어 읽기,"기기 안에서 비공개로, 클라우드 없이","tts,음성 변환,읽어주기,낭독,리더,오디오북,pdf,epub,기사,유튜브,오프라인,난독증,접근성,책 읽어주는,보이스,전자책",Yappy: TTS 텍스트 음성 변환,"책, 기사, PDF 소리 내어 읽기","오디오북,독서,전자책,읽어주기,낭독,epub,리더,난독증,음성합성,문서,소설"
ja,Yappy: テキスト読み上げ,端末内で完結、クラウド不要,"tts,朗読,リーダー,音声,音声合成,オーディオブック,pdf,epub,記事,youtube,オフライン,ディスレクシア,アクセシビリティ,電子書籍,読書",Yappy: 音声読み上げアプリ・TTS,テキスト読み上げ、PDFや小説を朗読・音読,"text,speech,オーディオブック,読書,音声合成,音声変換,文字,文章,電子書籍,epub,記事,リーダー"
